P,v,D4,depth,length,width
4.90259352e+01,1.16590074e-01,9.14654970e-05,3.52692308e-05,1.97615385e-04,1.78846154e-04
4.93840359e+01,1.79425454e-01,9.74311823e-05,2.64117647e-05,2.00647059e-04,1.69647059e-04
4.88831727e+01,1.36705542e-01,7.71081248e-05,2.67272727e-05,1.77772727e-04,1.59454545e-04
4.88369466e+01,1.93606275e-01,8.50641853e-05,2.30000000e-05,1.86000000e-04,1.56125000e-04
4.97711443e+01,1.47269934e-01,8.01072171e-05,2.67619048e-05,1.82238095e-04,1.61142857e-04
4.92573828e+01,1.59446621e-01,7.12926111e-05,2.29473684e-05,1.69631579e-04,1.47894737e-04
4.83985688e+01,1.05685306e-01,9.59810531e-05,3.82068966e-05,2.03655172e-04,1.86758621e-04
4.80933100e+01,1.85369599e-01,7.55249125e-05,2.20588235e-05,1.73941176e-04,1.46823529e-04
4.92006606e+01,1.29749763e-01,9.92487562e-05,3.45000000e-05,2.06291667e-04,1.83583333e-04
4.96363465e+01,1.67585677e-01,8.92987138e-05,2.61666667e-05,1.91722222e-04,1.65555556e-04
4.87274593e+01,1.23303121e-01,8.33726886e-05,3.06000000e-05,1.86760000e-04,1.69120000e-04
4.89896857e+01,1.53884077e-01,9.41657108e-05,2.86500000e-05,1.97500000e-04,1.71400000e-04
4.94649408e+01,1.12235093e-01,7.28735965e-05,2.95185185e-05,1.74370370e-04,1.60962963e-04
4.90834034e+01,1.99411541e-01,7.81725594e-05,2.20625000e-05,1.77437500e-04,1.48125000e-04
4.86624373e+01,1.40962631e-01,8.72332001e-05,2.89545455e-05,1.89045455e-04,1.69181818e-04
4.85894878e+01,1.95926398e-01,9.87317264e-05,2.40000000e-05,2.01000000e-04,1.67750000e-04
4.91374064e+01,1.38747114e-01,7.41742620e-05,2.58181818e-05,1.73181818e-04,1.55727273e-04
4.95184878e+01,1.50826192e-01,8.48418954e-05,2.75500000e-05,1.87450000e-04,1.63600000e-04
4.89541564e+01,1.08103037e-01,8.96971828e-05,3.62500000e-05,1.96642857e-04,1.80214286e-04
4.86733101e+01,1.65199274e-01,7.23725884e-05,2.28947368e-05,1.70315789e-04,1.47789474e-04
4.97476362e+01,1.18865794e-01,9.27990431e-05,3.53076923e-05,2.00192308e-04,1.80846154e-04
4.92261650e+01,1.81799126e-01,8.87156820e-05,2.40000000e-05,1.91294118e-04,1.61764706e-04
4.79062856e+01,1.28034949e-01,7.85577533e-05,2.86250000e-05,1.79000000e-04,1.61416667e-04
4.83177868e+01,1.57719052e-01,9.19834459e-05,2.77000000e-05,1.94650000e-04,1.69400000e-04
4.92958651e+01,1.02102459e-01,8.27899894e-05,3.52666667e-05,1.89600000e-04,1.74600000e-04
5.00324022e+01,1.89181346e-01,7.56379989e-05,2.20625000e-05,1.75625000e-04,1.47875000e-04
4.87775410e+01,1.44895929e-01,9.70336324e-05,3.07619048e-05,2.01190476e-04,1.75333333e-04
